review ID,review name,reviewer's name,reviewer's profile,review rating,review date,review text,verified purchase,vine customer review of free product,images
R21DYUND841PL8," Very disappointed",Deshank Chauhan,https://www.amazon.in/gp/profile/amzn1.account.AEDFXJLXDXUB6PNTE5ONHKW263EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"October 5, 2019","Its been more than 24 hours and this is not working at all, no cooling.. Very disappointed..",true,false,
R2U6TT8U78D0IY," Reducing a Star 5 to 4 !!",TopCrazyStuffdotCom,https://www.amazon.in/gp/profile/amzn1.account.AHBJ43BN66PIVUDTB5T4CXL6FZZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,"October 10, 2019","Lets cut short everything as generally people buying 500+ side by side refrigerators have a very good idea of refrigerators and mostly an upgrade from smaller ones.

Pros-
- Less Noise
- Taking less power than my previous 270 ltr fridge ( I can confirm that because on backup power my MCB was tripping and not with this bigger latest fridge)
- Space is huge because of better and simple design, even the icebox is not fixed, you can place anywhere
- AI mode is supposed to keep the optimum temperature inside and reduce power consumption
- Full covered backside, so no open ugly compressor to be seen
- led light switch on only when doors open, (just like mobile phones), again a power-saving idea
- Nice Sturdy PVC material for inside build and compartments
-
Cons
-Nothing just that the compressor has only 5 years warranty rather than 10 as compared to some other major brands.
but even if the compressor fails after 5 yrs the cost of replacing would be 3-4k which is still a great deal compared to big brands.

And an important point I would like to make and ask is - Is this a rebranded version of 'BPL 564 Frost Free side by side Refrigerator'? as almost everything is the same except the brand logo and back cover. And since I may be the first few to buy on its launch on 29th sep. The reason I said this because in the product video initially It had the same video present in the BPL refrigerator. And now it is replaced with amazonbasics video.

But Yes even if that is the case I am very satisfied with the performance and build quality.

This review is after 10 days of rigorous use. Any surprises I will definitely update this review. Great job Amazon Basics!

Update:

Around a month later there is a problem of water condensation inside refrigerator and less cooling. Raised a complaint but I must agree to some of the service complaints ITS BAD. If the service is so poor in metro cities what about tier 2 cities. One can imagine.

I am still waiting for the issue to be addressed by Amazon basics.",true,false,
R2OPJ7CSME2I7C," Buy it asap",Divyam,https://www.amazon.in/gp/profile/amzn1.account.AHVHHXKNXKSACVPZQWHY27BJH4QA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"September 27, 2019",Awsm product,false,false,
R2TJLSQBHQOB7S," Never ever buy any Amazon basics product",Vinod Pardhi,https://www.amazon.in/gp/profile/amzn1.account.AFZBF5LXK725VYJ33MYL7DMDKXAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"October 9, 2019","Do not buy, once again do not buy.
No service, installation team does not respond.
Poor communication, call disconnected by executive.
Amazon chat support says they do not support the installation but other team do.
The other team would never reply you .

Suddenly the return period is already started but the fridge not installed yet.
If you touch the fridge without installation person, you will loss the warranty.

Edit: it's 11th Oct and my fridge is not installed yet. Finally applied for refund.

Amazon team really sucks, now they come up with new installation date and that is 5 days more to wait, just to open the box and plug it.

Don't buy any Amazon basics products, this is a helpful suggestion....",true,false,
R8JHZV8H5V5XF," Large & beautiful fridge",Amazon Customer,https://www.amazon.in/gp/profile/amzn1.account.AEXKTJJSGDWQDHUVDLZRYFTSCWOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,"October 4, 2019","It's a monster!! While I knew the dimensions of the fridge before ordering, when it arrived, it was bigger than what I had imagined. Well, it had to be, it is 564 litres. My previous fridge was about 425 litres and this is definitely an upgrade.

It looks great and seems to be working well. Since it has been just one day, can't comment much on the performance.

Reduced one star because of the installation person & the manual that came with the fridge. The installation person (there actually isn't much to be installed) was not knowledgeable. He did not know the function of the AI button. On being asked, he said that if the button is pressed, the freezer too turns into a refrigerator. So, basically both sides can be used for cooling & there will be no freezer. I found it very strange and the little wisdom that I possess told me that AI is usually Artificial Intelligence. This turned out to be true when I opened the manual.Now the issue is that the manual too has mistakes and the language is poor. I could not understand the function of AI button clearly even after reading the manual.

In short, a good looking machine, which has loads of space and runs silently. Rest of the performance parameters will only be known over a period of time. People who come to install should be better trained and should not misguide customers.",true,false,
R35N230U2MB7E4," Best product, worst service",Sai kumar,https://www.amazon.in/gp/profile/amzn1.account.AEEVJLCY3ELJAF4QFAJH7VCIPKYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,"October 7, 2019","Got it at a huge discount for 32k in great indian sale.
Looks great and working fine.
I call it a pure lucky product as i faced no issues with the working of the fridge.
I mentioned lucky because, after sales service for amazonbasics products is totally worthless.
In case something goes wrong, don't even think of their help.
I was trying to call the tollfree number from past two days for installation as mentioned in description (as it is a fridge, no installation is required).
No one pickedup the call, which got disconnected after waiting for 6min and horrible support from amazon, they are no way related to amazonbasics.

AS OF NOW PRODUCT IS AWESOME FOR THE PRICE I HAVE PAID AND A LITTLE TENSED ABOUT CLAIMING WARRANTY IF SOMETHING GOES WRONG IN FUTURE WITH UNSUPPORTIVE AMAZONBASICS TEAM.

Finally someone from samsung (they mentioned amazon has hired them for installation at my home town) have come after 14 days for installation which is not required though.
They have just explained what's there in the manual and gave some suggestions.",true,false,"https://images-na.ssl-images-amazon.com/images/I/61Ajodm4cBL.jpg
https://images-na.ssl-images-amazon.com/images/I/71VAwF7KV3L.jpg"
R2ARR34GT924J9," A terrific value for money product",Aritra Mukherjee,https://www.amazon.in/gp/profile/amzn1.account.AEQSDUAIG4WJ5GM5FROUEI5K6WAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"March 2, 2020","As many aspects of the product are already covered in other reviews, I am keeping it short. One point scarcely described is energy efficiency. Our fridge runs for the whole day 24x7 and is always filled with food. Even with that kind of load in the AI settings, I found that the energy requirement is not more than 60-75 units per month over a 4-month study. The calculation is done by using a plug-in energy meter between the power supply port and the fridge plug. I did this deliberately to test the power efficiency as that aspect is poorly covered in both the product description and reviews. I hope this helps.",true,false,
R2U3WJNV4R2QS0," Best fridge in this price range, ignore the negative comments",Mansoor Ali,https://www.amazon.in/gp/profile/amzn1.account.AHQ2IVTLTZ2UWJNHQLB6RALWSMTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"October 9, 2019","This is actually BPL side by side sold by Amazon on its name. Thou this has a great design and cooling is phenomenal. It is elegant and modern. Must buy this product, but for smaller homes or flats on higher floors needs to check lift or door size first as the delivery guys will refuse delivery.
Left whole side is freezer and right side is fridge it cant be switched or controlled.
The noise level is almost inaudible
Installation is easy just plug and leave for 6 hrs without putting anything inside with just adjusting trays and baskets.",true,false,
R1ITBIVP6NGHFJ," It consume 8 to 10 unit per day so it is not energy efficient and do not buy",vishal,https://www.amazon.in/gp/profile/amzn1.account.AHUMNYHCZJUJXEXDXVS5OQMYZOCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"October 15, 2019","It is not 4 star freeze. It is consume around 8 to 10 unit per day. Other three star rated freeze of caacity 500 LTR consume 1.5unit per day
So please consider extra electric bill payable every month before buying this product
And I applied for refund within 10 days but Amazon had refused to give refund",true,false,
R28LMTKCN7THZK," Simply great except for energy rating and alarm function not working!",Sai,https://www.amazon.in/gp/profile/amzn1.account.AHP2NVQLL6JC3VKW7ZJUVWCBMLHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,"October 6, 2019","Beautiful looking 564 litres Fridge for a reasonable price. No doubt. It is worth the money. It is 3 days since I have received the product.
But in the long run only we may know its recurring power consumption cost.
Though there was not much to really install, we waited till the next day for the Technician to do the job. He said that he does not know much about this model fridge since it is a new launch. He was also in the dark about the Energy Star Rating. But he was kind enough to call me today to tell me to watch the video of the product and said that it is mentioned in the video that it is 4 star. Yes, in the video it clearly says but how far it is true, I don't know as it is not mentioned either in the manual nor sticker fixed on the fridge.
He, however, did not know about AI function too but it was clear in the manual. If you set at AI, it will automatically set at - 18°c for Freezer and 5°c (4°c) for Fridge. I tried that and it is working.
The shocker is Alarm. The manual says that if by mistake the doors of the fridge are kept opened for more 2 minutes, it will give alarm and would stop after 10 minutes. I did the test but it was not giving any Alarm! I tried couple of times more but it was not functioning. I called up Amazon care and they too have no clue. So, they have arranged for the Technician to visit our place on 9th Oct, the earliest available date due to pooja holidays, to check for the same as they also say, as per manual, it should give alarm. So, wait for the further update on this.
The Technician did arrive, ofcourse, after lot of follow up which I didn't expect. He also was wondering as to why there was no alarm even after keeping the door open for about 5 minutes. While going closer to close the door, there was a very feeble noice which gives 3 beeps. That's all. To hear that again you have to affix your ear to the door (in which case there is no need for this very, very feeble alarm). 🤔🙃
Hence, one star is reduced because of this, poor service and energy rating not mentioned on the product. Any case we decided to keep as we got it for 39 k with 5 k Amazon cash back. In effect, it costs 34k. That way it was worth the money.

The measurements of the fridge has been removed in their production description above now and wonder why they have removed it! However, I am mentioning it here for your ready reference: Height is 70 inches, Depth is 25.5 inches and width is 36.5 inches.

Otherwise, it is working fine and we had fallen in love with it at the first sight! ☺
—------------—----------—-----------------
Today is 2nd Oct 2021.
The fridge is working fine. The alarm function is feeble but it OK as we are not very concerned about it.
It is really worth, spacious and we simply love it! 🤩",true,false,
